total_sqft,total_bath,total_bedroom,overall_qual,exter_qual,kitchen_qual,bsmt_qual,fireplace_qu,garage_finish,mas_vnr_area,garage_cars,age_sold,age_since_remod,total_sqft * overall_qual,neighborhood_Blueste,neighborhood_BrDale,neighborhood_BrkSide,neighborhood_ClearCr,neighborhood_CollgCr,neighborhood_Crawfor,neighborhood_Edwards,neighborhood_Gilbert,neighborhood_Greens,neighborhood_GrnHill,neighborhood_IDOTRR,neighborhood_Landmrk,neighborhood_MeadowV,neighborhood_Mitchel,neighborhood_NAmes,neighborhood_NPkVill,neighborhood_NWAmes,neighborhood_NoRidge,neighborhood_NridgHt,neighborhood_OldTown,neighborhood_SWISU,neighborhood_Sawyer,neighborhood_SawyerW,neighborhood_Somerst,neighborhood_StoneBr,neighborhood_Timber,neighborhood_Veenker,yr_sold_2007,yr_sold_2008,yr_sold_2009,yr_sold_2010,ms_subclass_30,ms_subclass_40,ms_subclass_45,ms_subclass_50,ms_subclass_60,ms_subclass_70,ms_subclass_75,ms_subclass_80,ms_subclass_85,ms_subclass_90,ms_subclass_120,ms_subclass_150,ms_subclass_160,ms_subclass_180,ms_subclass_190
-0.3787195540904194,0.6007587991353383,0.1889344685860718,-0.07622274577569307,1.0160776534729874,0.7289878012283314,-0.5424380413853873,-0.9751871702563314,0.3093634271028997,1.1126773894416286,0.29318631015588154,-0.06962620948217008,-0.8856579905714013,-0.3411305087448532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.6316133227396377,1.6665205129260812,1.3987054877512626,0.627292596991852,1.0160776534729874,0.7289878012283314,0.5679071602116738,0.6857924738460984,0.3093634271028997,0.19932614130653778,0.29318631015588154,-0.7650640385927306,-0.5525171718473812,0.6035585572636469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-0.7309558248104066,-0.4650029146554048,0.1889344685860718,-0.7797380885432381,-0.6904330940402515,0.7289878012283314,-0.5424380413853873,-0.9751871702563314,-0.8046711284926039,-0.5685870099917552,-1.0156127083831195,0.6920437938293962,-0.980841081635407,-0.7856044264155191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.8767087644186771,0.6007587991353383,0.1889344685860718,-0.7797380885432381,-0.6904330940402515,-0.7767541390104297,0.5679071602116738,-0.9751871702563314,1.4233979826984033,-0.5685870099917552,0.29318631015588154,-1.0631088224972565,-0.980841081635407,-0.8542410164161367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-0.460429535385965,-0.4650029146554048,0.1889344685860718,-0.07622274577569307,-0.6904330940402515,-0.7767541390104297,-1.6527832429824483,-0.9751871702563314,-0.8046711284926039,-0.5685870099917552,0.29318631015588154,2.447196410156049,-0.3145594441873669,-0.3873042147452686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.0611428190094652,0.6007587991353383,-1.020836550579119,-0.07622274577569307,1.0160776534729874,0.7289878012283314,-0.5424380413853873,1.2394523552135748,1.4233979826984033,-0.5685870099917552,0.29318631015588154,0.26153466152285876,-0.7428833539753926,0.4725250672624679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.9694606350784856,0.6007587991353383,-1.020836550579119,-0.07622274577569307,-0.6904330940402515,-0.7767541390104297,0.5679071602116738,-0.9751871702563314,1.4233979826984033,-0.09155005236705806,0.29318631015588154,-1.1624570837987651,-1.1236157182314155,-0.6749539237478568,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.1269644765852249,-0.4650029146554048,0.1889344685860718,-0.7797380885432381,-0.6904330940402515,-0.7767541390104297,-0.5424380413853873,-0.9751871702563314,0.3093634271028997,0.47856728723318975,0.29318631015588154,0.4933472712263789,1.3035531039007302,-0.5011785572462932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.8325412069616254,-1.5307646284461478,-1.020836550579119,-0.7797380885432381,-0.6904330940402515,-0.7767541390104297,-0.5424380413853873,-0.9751871702563314,-0.8046711284926039,-0.5685870099917552,-1.0156127083831195,0.6258116196283904,1.4939192860287418,-0.8334420497492828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6647389908324264,1.6665205129260812,2.6084765069164537,-0.7797380885432381,-0.6904330940402515,-2.282496079249191,0.5679071602116738,0.6857924738460984,-0.8046711284926039,0.5483775737148527,0.29318631015588154,0.06283813891984144,0.6848630119846931,-0.1283570797429387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
